"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2022","351.52","352.42","354.71","349.47","","-0.24%"
"04/19/2022","352.35","343.66","355.50","343.66","","2.54%"
"04/13/2022","343.63","338.35","344.12","338.35","","1.43%"
"04/12/2022","338.80","341.81","341.81","336.31","","-0.96%"
"04/11/2022","342.07","348.52","351.55","340.48","","-1.86%"
"04/08/2022","348.56","349.95","351.76","347.89","","-0.22%"
"04/07/2022","349.33","350.58","352.99","348.32","","-0.33%"
"04/06/2022","350.47","352.61","355.05","348.75","","-0.56%"
"04/05/2022","352.44","351.62","354.83","349.19","","0.22%"
"04/04/2022","351.66","354.27","357.10","350.48","","-0.74%"
"04/01/2022","354.27","344.61","355.25","343.88","","2.79%"
"03/31/2022","344.65","340.57","346.51","340.57","","1.14%"
"03/30/2022","340.76","332.02","341.14","332.02","","2.62%"
"03/29/2022","332.07","341.27","341.32","328.31","","-2.68%"
"03/28/2022","341.21","333.22","342.15","333.22","","2.42%"
"03/25/2022","333.15","330.33","333.50","328.28","","0.91%"
"03/24/2022","330.16","337.02","337.21","329.86","","-1.77%"
"03/23/2022","336.12","333.43","336.61","332.88","","0.88%"
"03/22/2022","333.18","332.17","334.97","330.73","","0.30%"
"03/21/2022","332.17","328.55","332.55","327.24","","1.10%"
"03/18/2022","328.55","333.02","333.53","328.53","","-1.34%"
"03/17/2022","333.02","328.75","335.43","328.66","","1.35%"
"03/16/2022","328.59","317.45","330.75","317.45","","3.67%"
"03/15/2022","316.97","318.56","321.85","313.64","","-0.50%"
"03/14/2022","318.56","323.58","323.58","316.78","","-1.54%"
"03/11/2022","323.53","321.05","330.18","320.32","","0.82%"
"03/10/2022","320.89","320.47","325.52","320.13","","0.17%"
"03/09/2022","320.36","316.31","322.22","316.31","","1.29%"
"03/08/2022","316.27","317.62","317.85","313.03","","-0.61%"
"03/07/2022","318.22","319.50","319.50","309.67","","-0.39%"
"03/04/2022","319.45","325.55","325.55","313.73","","-1.76%"
"03/03/2022","325.16","325.43","330.91","321.60","","-0.04%"
"03/02/2022","325.28","332.62","332.62","323.02","","-1.49%"
"03/01/2022","330.21","333.61","337.13","329.15","","-0.80%"
"02/28/2022","332.86","329.25","334.53","327.51","","1.14%"
"02/25/2022","329.10","319.46","329.13","319.46","","3.03%"
"02/24/2022","319.43","328.35","328.35","312.96","","-2.78%"
"02/23/2022","328.57","326.62","330.75","325.28","","0.84%"
"02/22/2022","325.84","316.61","326.03","307.11","","2.78%"
"02/21/2022","317.02","325.09","325.09","313.29","","-2.55%"
